                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.67218,                0.66929,                 1.0513,                0.80233,                0.74571,                0.82316,                0.67811,                  0.768,                0.80687,                 1.0995,              0.0093466,              0.0093466,              0.0093466
                     69,                0.66376,                0.67573,                 1.0465,                0.79743,                0.73501,                0.81115,                0.66748,                0.76235,                0.81955,                 1.0947,              0.0093367,              0.0093367,              0.0093367
                     70,                0.66303,                0.66404,                  1.045,                0.79317,                0.74931,                0.82008,                0.67427,                0.76914,                0.81651,                 1.0995,              0.0093268,              0.0093268,              0.0093268
                     71,                0.67385,                0.66116,                 1.0475,                0.78675,                0.76937,                0.82276,                0.67671,                0.77114,                0.79446,                 1.0994,              0.0093169,              0.0093169,              0.0093169
                     72,                0.67342,                0.66441,                 1.0504,                0.77469,                0.75414,                0.81566,                0.66549,                0.76902,                0.81426,                 1.0966,               0.009307,               0.009307,               0.009307
                     73,                0.66097,                0.65723,                 1.0435,                0.80222,                0.75883,                0.82886,                0.68147,                0.76687,                0.78687,                 1.0925,              0.0092971,              0.0092971,              0.0092971
                     74,                0.65774,                0.64729,                  1.043,                0.78394,                0.77879,                0.83141,                0.68037,                0.77785,                0.79195,                  1.105,              0.0092872,              0.0092872,              0.0092872
                     75,                0.66651,                0.65338,                 1.0439,                 0.8081,                0.76528,                0.82669,                0.68079,                0.76823,                0.78141,                  1.095,              0.0092773,              0.0092773,              0.0092773
                     76,                0.65387,                0.63802,                 1.0374,                0.78888,                0.77805,                0.82532,                 0.6773,                 0.7693,                0.79748,                 1.0996,              0.0092674,              0.0092674,              0.0092674
                     77,                0.65497,                0.62926,                 1.0343,                0.74551,                0.79206,                0.82613,                0.68058,                0.76873,                0.80759,                 1.0958,              0.0092575,              0.0092575,              0.0092575
                     78,                0.65102,                0.63421,                 1.0375,                0.81399,                0.74346,                0.83328,                0.68407,                0.77288,                0.78571,                 1.1049,              0.0092476,              0.0092476,              0.0092476
                     79,                0.65031,                0.64027,                 1.0379,                0.78902,                0.77177,                0.83039,                0.68836,                0.76246,                0.78445,                 1.0957,              0.0092377,              0.0092377,              0.0092377
                     80,                 0.6499,                0.64054,                 1.0364,                  0.791,                0.75717,                0.82234,                 0.6787,                0.76475,                0.79864,                 1.1064,              0.0092278,              0.0092278,              0.0092278
                     81,                 0.6491,                 0.6266,                 1.0391,                0.77485,                0.76206,                0.81935,                0.67425,                0.76983,                0.81579,                 1.1083,              0.0092179,              0.0092179,              0.0092179
                     82,                0.64658,                0.62087,                 1.0416,                0.78918,                0.76279,                0.82354,                0.68112,                0.76429,                 0.8097,                 1.1103,               0.009208,               0.009208,               0.009208
                     83,                0.64417,                 0.6317,                 1.0366,                0.78552,                0.75729,                 0.8256,                0.68012,                0.77057,                 0.8052,                 1.1081,              0.0091981,              0.0091981,              0.0091981
                     84,                0.64234,                0.61916,                 1.0322,                 0.7924,                0.76555,                0.83428,                0.68687,                0.77465,                0.78424,                 1.1067,              0.0091882,              0.0091882,              0.0091882
                     85,                0.63774,                0.61877,                 1.0282,                0.77221,                0.77448,                0.82725,                0.68146,                0.76921,                0.79349,                 1.1015,              0.0091783,              0.0091783,              0.0091783
                     86,                0.63537,                0.61432,                 1.0291,                0.77134,                0.77157,                0.82699,                 0.6807,                0.77064,                0.80261,                 1.1013,              0.0091684,              0.0091684,              0.0091684
                     87,                0.63701,                0.60295,                 1.0239,                0.78047,                0.77299,                0.83083,                0.68454,                0.76717,                0.78091,                 1.0996,              0.0091585,              0.0091585,              0.0091585
                     88,                0.63531,                0.60641,                 1.0265,                0.80239,                0.74945,                0.82423,                0.67925,                0.77352,                0.79472,                 1.1093,              0.0091486,              0.0091486,              0.0091486
                     89,                0.63504,                0.60557,                  1.027,                0.75469,                 0.8007,                0.82396,                0.67954,                0.76584,                0.79537,                 1.1071,              0.0091387,              0.0091387,              0.0091387
                     90,                0.62987,                0.59125,                 1.0248,                0.79909,                0.75515,                0.83558,                0.68833,                0.77855,                0.77728,                 1.1249,              0.0091288,              0.0091288,              0.0091288
                     91,                0.63293,                0.60322,                 1.0294,                0.78864,                0.77421,                0.83223,                0.68531,                0.76885,                0.78056,                 1.1137,              0.0091189,              0.0091189,              0.0091189
                     92,                0.63184,                0.59643,                 1.0287,                0.80338,                0.77461,                0.83069,                0.68619,                0.76908,                0.77757,                 1.1127,               0.009109,               0.009109,               0.009109
                     93,                0.63101,                0.59246,                 1.0272,                0.79446,                0.76936,                 0.8238,                0.68162,                0.77007,                0.79583,                 1.1114,              0.0090991,              0.0090991,              0.0090991
                     94,                0.62651,                0.58436,                 1.0205,                0.80877,                0.76427,                0.82937,                0.68462,                0.77012,                0.78374,                  1.115,              0.0090892,              0.0090892,              0.0090892
                     95,                0.61505,                0.57965,                 1.0156,                0.80525,                0.76603,                0.82651,                0.68035,                0.76546,                0.79406,                   1.11,              0.0090793,              0.0090793,              0.0090793
                     96,                0.62211,                0.58587,                 1.0216,                0.79767,                0.76193,                0.82134,                0.67977,                0.76963,                0.80568,                   1.11,              0.0090694,              0.0090694,              0.0090694
                     97,                 0.6263,                0.58664,                 1.0274,                0.80448,                 0.7746,                0.83095,                0.68482,                0.76538,                0.79305,                 1.1136,              0.0090595,              0.0090595,              0.0090595
                     98,                0.61956,                0.57501,                 1.0203,                0.79684,                0.74857,                0.82449,                0.68019,                0.76941,                0.80169,                 1.1171,              0.0090496,              0.0090496,              0.0090496
                     99,                0.61354,                0.56888,                 1.0168,                0.80984,                0.77055,                0.83061,                0.68837,                0.76175,                0.78572,                 1.1082,              0.0090397,              0.0090397,              0.0090397
                    100,                0.61178,                0.56899,                 1.0178,                 0.8183,                0.75959,                0.82536,                0.68276,                0.76171,                0.79205,                 1.1066,              0.0090298,              0.0090298,              0.0090298
                    101,                0.61976,                0.57551,                 1.0179,                0.78027,                0.77253,                0.82452,                0.68316,                0.75423,                0.79487,                 1.0928,              0.0090199,              0.0090199,              0.0090199
                    102,                 0.6086,                0.56144,                  1.014,                0.80414,                0.76753,                0.83094,                0.68598,                0.76141,                0.78342,                 1.0996,                0.00901,                0.00901,                0.00901
                    103,                0.61106,                0.56984,                 1.0162,                0.79246,                0.77767,                0.82663,                0.68213,                0.76119,                0.77354,                 1.1003,              0.0090001,              0.0090001,              0.0090001
                    104,                0.60305,                0.55559,                 1.0112,                0.78796,                0.76905,                 0.8261,                0.68513,                0.75785,                0.78498,                 1.0995,              0.0089902,              0.0089902,              0.0089902
                    105,                0.61112,                0.55703,                 1.0181,                0.81609,                0.74325,                0.83084,                0.68879,                0.76032,                0.76965,                 1.0962,              0.0089803,              0.0089803,              0.0089803
                    106,                0.60603,                0.55881,                 1.0145,                0.82127,                0.75262,                0.83438,                 0.6912,                0.75795,                0.77528,                 1.0997,              0.0089704,              0.0089704,              0.0089704
                    107,                0.61239,                0.55843,                 1.0186,                0.77295,                0.78092,                0.82858,                0.68732,                0.76087,                0.79425,                 1.1006,              0.0089605,              0.0089605,              0.0089605
                    108,                0.60072,                 0.5596,                 1.0126,                0.80806,                0.75865,                0.83108,                0.69074,                0.76109,                 0.7898,                 1.0992,              0.0089506,              0.0089506,              0.0089506
                    109,                0.60329,                0.55243,                 1.0144,                0.80317,                0.76125,                0.82882,                0.68786,                0.75991,                0.79394,                 1.1112,              0.0089407,              0.0089407,              0.0089407
                    110,                0.60538,                0.55304,                 1.0175,                0.82676,                0.74436,                 0.8304,                0.69265,                0.76548,                 0.7952,                 1.1124,              0.0089308,              0.0089308,              0.0089308
                    111,                0.59994,                0.55107,                 1.0144,                0.78673,                0.78231,                0.82997,                 0.6889,                0.76107,                0.80024,                 1.1081,              0.0089209,              0.0089209,              0.0089209
                    112,                0.60008,                0.54563,                 1.0152,                0.82539,                0.75391,                0.83745,                0.69319,                0.75879,                  0.787,                 1.1052,               0.008911,               0.008911,               0.008911
                    113,                0.59256,                0.54112,                  1.008,                0.84544,                0.73293,                0.83771,                0.69482,                0.75834,                0.77223,                 1.1058,              0.0089011,              0.0089011,              0.0089011
                    114,                0.59398,                0.53026,                 1.0069,                0.78423,                0.79114,                0.83492,                0.69191,                0.76479,                0.76476,                 1.1091,              0.0088912,              0.0088912,              0.0088912
                    115,                0.59271,                 0.5385,                 1.0099,                0.82782,                 0.7537,                0.83571,                0.69147,                0.76547,                0.76718,                 1.1093,              0.0088813,              0.0088813,              0.0088813
                    116,                0.59198,                0.54408,                 1.0109,                0.80699,                0.76898,                0.83286,                0.69475,                0.75438,                0.77771,                 1.1065,              0.0088714,              0.0088714,              0.0088714
                    117,                0.58926,                0.53884,                 1.0052,                0.81188,                0.77329,                0.83517,                0.69428,                0.75606,                0.77666,                 1.1037,              0.0088615,              0.0088615,              0.0088615
                    118,                 0.5897,                0.53702,                 1.0044,                0.80097,                0.76714,                0.82978,                0.68782,                0.76706,                0.78817,                  1.115,              0.0088516,              0.0088516,              0.0088516
                    119,                0.58616,                0.53059,                 1.0072,                0.78548,                0.78297,                0.82869,                 0.6866,                0.76024,                 0.7818,                 1.1141,              0.0088417,              0.0088417,              0.0088417
                    120,                0.58762,                0.52679,                 1.0045,                0.80281,                0.75894,                0.82691,                0.68576,                 0.7626,                0.77393,                 1.1099,              0.0088318,              0.0088318,              0.0088318
                    121,                0.58031,                0.52291,                 1.0038,                0.79256,                0.78479,                 0.8292,                0.68954,                0.75978,                0.76894,                 1.1103,              0.0088219,              0.0088219,              0.0088219
                    122,                0.58452,                0.52491,                 1.0037,                0.80902,                0.77079,                0.83733,                0.69423,                0.75697,                0.76502,                 1.1105,               0.008812,               0.008812,               0.008812
                    123,                0.58508,                0.52228,                 1.0046,                0.79431,                0.78999,                0.83375,                0.69333,                0.75394,                0.76978,                 1.1058,              0.0088021,              0.0088021,              0.0088021
                    124,                0.58092,                0.52138,                0.99911,                0.80419,                0.78353,                0.83789,                 0.6945,                 0.7586,                0.75833,                 1.1119,              0.0087922,              0.0087922,              0.0087922
                    125,                0.57447,                0.51562,                0.99587,                 0.8012,                0.78989,                0.83351,                0.69145,                0.75949,                 0.7654,                 1.1098,              0.0087823,              0.0087823,              0.0087823
                    126,                0.57685,                   0.52,                 1.0007,                 0.7954,                0.78272,                0.83523,                 0.6932,                0.75861,                0.76322,                 1.1092,              0.0087724,              0.0087724,              0.0087724
                    127,                0.57626,                 0.5098,                 1.0015,                 0.8103,                 0.7764,                0.83641,                0.69475,                0.75868,                0.75603,                 1.1104,              0.0087625,              0.0087625,              0.0087625
                    128,                0.57344,                0.51264,                0.99748,                0.80811,                0.77325,                0.83227,                0.68934,                 0.7578,                 0.7657,                 1.1116,              0.0087526,              0.0087526,              0.0087526
                    129,                0.57836,                0.51153,                 1.0012,                0.78311,                0.78297,                0.82832,                0.68773,                0.75847,                0.77981,                 1.1096,              0.0087427,              0.0087427,              0.0087427
                    130,                0.57176,                0.50854,                0.99331,                0.81811,                0.76655,                0.83274,                0.69059,                0.75994,                0.77567,                 1.1102,              0.0087328,              0.0087328,              0.0087328
                    131,                 0.5762,                0.51336,                 1.0008,                0.79316,                0.79004,                0.83012,                 0.6908,                0.76449,                0.78294,                 1.1164,              0.0087229,              0.0087229,              0.0087229
                    132,                 0.5649,                0.50887,                0.99779,                0.79834,                0.78497,                0.83055,                0.69232,                0.76138,                0.77966,                 1.1144,               0.008713,               0.008713,               0.008713
                    133,                 0.5745,                0.50457,                0.99227,                0.81569,                0.77867,                0.83593,                0.69647,                0.76179,                0.76725,                 1.1164,              0.0087031,              0.0087031,              0.0087031
                    134,                0.56318,                0.50462,                 0.9936,                0.80101,                0.78803,                0.83294,                 0.6958,                0.76207,                0.77296,                 1.1223,              0.0086932,              0.0086932,              0.0086932
                    135,                0.56577,                0.50201,                0.99434,                0.81741,                 0.7616,                0.83211,                 0.6941,                0.75681,                0.78356,                 1.1143,              0.0086833,              0.0086833,              0.0086833
                    136,                0.56521,                0.49449,                 0.9885,                0.81415,                0.77177,                0.83629,                 0.6976,                0.75886,                0.76811,                 1.1113,              0.0086734,              0.0086734,              0.0086734
                    137,                0.56317,                0.49068,                0.98767,                0.81884,                0.77636,                0.83775,                0.69764,                0.76325,                0.76829,                 1.1178,              0.0086635,              0.0086635,              0.0086635
                    138,                0.56837,                0.49865,                0.99291,                0.81169,                0.76953,                0.83549,                0.69633,                0.75793,                0.76674,                 1.1127,              0.0086536,              0.0086536,              0.0086536
                    139,                0.56347,                0.50641,                0.99155,                0.78249,                0.80076,                0.83426,                0.69487,                0.75654,                0.76869,                 1.1143,              0.0086437,              0.0086437,              0.0086437
                    140,                0.56435,                0.49514,                0.99577,                0.79921,                0.78374,                 0.8337,                0.69402,                0.75761,                0.77652,                 1.1164,              0.0086338,              0.0086338,              0.0086338
                    141,                0.56492,                0.49692,                0.99153,                0.79328,                0.78364,                 0.8338,                0.69278,                0.76337,                0.78751,                 1.1206,              0.0086239,              0.0086239,              0.0086239
                    142,                 0.5602,                 0.4978,                0.99023,                0.82296,                0.76404,                0.83023,                0.68868,                0.76561,                0.78878,                 1.1229,               0.008614,               0.008614,               0.008614
                    143,                0.55885,                   0.49,                0.99068,                0.82442,                0.75548,                0.82966,                0.68894,                0.76796,                0.78259,                 1.1257,              0.0086041,              0.0086041,              0.0086041
                    144,                0.55497,                0.48451,                0.98934,                0.81308,                0.76109,                0.83304,                0.69489,                0.76362,                0.78116,                 1.1219,              0.0085942,              0.0085942,              0.0085942
                    145,                0.55409,                 0.4871,                0.98516,                0.78985,                0.78485,                0.83445,                0.69554,                0.76431,                0.77254,                 1.1218,              0.0085843,              0.0085843,              0.0085843
                    146,                0.55346,                0.48905,                0.98653,                0.78224,                0.78626,                0.82969,                0.69262,                0.76146,                0.79316,                  1.119,              0.0085744,              0.0085744,              0.0085744
                    147,                0.55283,                0.48338,                0.98984,                0.77248,                  0.791,                0.82676,                0.68903,                  0.762,                0.80378,                  1.118,              0.0085645,              0.0085645,              0.0085645
                    148,                0.55342,                0.48622,                0.98388,                0.79436,                0.76959,                  0.828,                0.68924,                   0.76,                0.80047,                  1.115,              0.0085546,              0.0085546,              0.0085546
                    149,                0.56003,                0.49269,                0.99061,                0.81264,                0.75652,                 0.8298,                0.68906,                0.76552,                0.79388,                 1.1203,              0.0085447,              0.0085447,              0.0085447
                    150,                0.54919,                0.48142,                0.98679,                0.81214,                0.76072,                0.83296,                0.69416,                0.76346,                0.78583,                 1.1164,              0.0085348,              0.0085348,              0.0085348
                    151,                0.55258,                0.48837,                0.99086,                0.79974,                0.77157,                0.83229,                0.69231,                0.76226,                0.77996,                 1.1139,              0.0085249,              0.0085249,              0.0085249
                    152,                0.55789,                0.48474,                0.99334,                0.79778,                0.77465,                0.83393,                0.69434,                0.76609,                0.77016,                 1.1189,               0.008515,               0.008515,               0.008515
                    153,                0.54857,                0.47886,                0.98492,                0.81921,                 0.7609,                0.83378,                  0.693,                0.77093,                0.77461,                 1.1243,              0.0085051,              0.0085051,              0.0085051
                    154,                0.54612,                0.48002,                 0.9807,                0.81956,                0.76233,                0.83543,                0.69526,                0.76637,                0.77161,                 1.1229,              0.0084952,              0.0084952,              0.0084952
                    155,                0.54779,                0.48012,                0.98136,                0.81718,                0.77717,                0.83612,                0.69554,                 0.7678,                0.77458,                 1.1286,              0.0084853,              0.0084853,              0.0084853
