                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 0.5134,                0.71786,                 1.0814,                0.69233,                0.67241,                0.72684,                0.60122,                0.75203,                0.95655,                 1.1937,              0.0087427,              0.0087427,              0.0087427
                    130,                0.51724,                0.71782,                 1.0835,                0.65493,                0.71463,                0.72878,                0.60306,                0.75291,                 0.9504,                 1.1954,              0.0087328,              0.0087328,              0.0087328
                    131,                0.51359,                0.72244,                 1.0824,                0.67873,                0.68386,                 0.7276,                0.60262,                0.74995,                0.95598,                 1.1944,              0.0087229,              0.0087229,              0.0087229
                    132,                0.51426,                0.72343,                 1.0862,                0.68237,                0.68971,                0.73136,                0.60557,                0.74954,                0.95237,                 1.1952,               0.008713,               0.008713,               0.008713
                    133,                0.50745,                 0.7172,                 1.0801,                0.70089,                0.67319,                0.73438,                0.60818,                0.74972,                0.94776,                 1.1957,              0.0087031,              0.0087031,              0.0087031
                    134,                 0.5041,                0.70649,                 1.0774,                0.69061,                0.69289,                0.73903,                0.61153,                0.74737,                0.93931,                 1.1941,              0.0086932,              0.0086932,              0.0086932
                    135,                0.50475,                0.70958,                 1.0764,                0.69521,                 0.7033,                0.74543,                0.61761,                0.74587,                 0.9259,                 1.1915,              0.0086833,              0.0086833,              0.0086833
                    136,                0.50643,                0.71476,                 1.0786,                0.68889,                0.70352,                0.73855,                0.61216,                0.74612,                0.93517,                 1.1922,              0.0086734,              0.0086734,              0.0086734
                    137,                0.50804,                0.71391,                 1.0785,                0.70012,                0.68915,                0.73678,                0.60992,                 0.7454,                0.94001,                 1.1922,              0.0086635,              0.0086635,              0.0086635
                    138,                0.50397,                0.70135,                 1.0789,                0.70232,                  0.676,                0.72995,                0.60542,                0.74485,                0.95179,                 1.1912,              0.0086536,              0.0086536,              0.0086536
                    139,                0.50562,                0.70621,                 1.0734,                0.68494,                0.70102,                0.73154,                0.60554,                0.74359,                0.94735,                 1.1891,              0.0086437,              0.0086437,              0.0086437
                    140,                 0.5065,                0.69908,                 1.0755,                 0.6735,                0.70134,                0.73008,                 0.6036,                0.74291,                0.95125,                 1.1891,              0.0086338,              0.0086338,              0.0086338
                    141,                0.51017,                0.70677,                 1.0774,                0.64171,                0.73044,                0.72884,                0.60138,                0.74321,                0.95612,                 1.1893,              0.0086239,              0.0086239,              0.0086239
                    142,                0.50667,                0.69728,                 1.0771,                0.65955,                0.70307,                 0.7291,                0.60257,                0.74545,                0.96167,                 1.1913,               0.008614,               0.008614,               0.008614
                    143,                0.50543,                0.70024,                  1.075,                0.65867,                0.70409,                 0.7297,                0.60295,                0.74544,                0.96593,                 1.1915,              0.0086041,              0.0086041,              0.0086041
                    144,                0.49866,                0.68988,                 1.0753,                0.68011,                 0.6861,                0.72719,                0.60111,                0.74668,                0.96852,                 1.1927,              0.0085942,              0.0085942,              0.0085942
                    145,                 0.5006,                0.69019,                 1.0771,                0.66902,                0.70167,                0.72594,                0.59945,                0.74655,                0.96861,                 1.1927,              0.0085843,              0.0085843,              0.0085843
                    146,                0.50304,                0.69546,                 1.0802,                0.66939,                0.70636,                0.72783,                0.60109,                0.74612,                  0.967,                 1.1925,              0.0085744,              0.0085744,              0.0085744
                    147,                0.50395,                0.69294,                 1.0764,                0.66023,                 0.7083,                0.72522,                0.59911,                0.74609,                0.97734,                 1.1928,              0.0085645,              0.0085645,              0.0085645
                    148,                0.49893,                0.68721,                  1.071,                0.65561,                0.71327,                0.72734,                0.60155,                0.74517,                0.97559,                 1.1923,              0.0085546,              0.0085546,              0.0085546
                    149,                0.50957,                 0.7012,                 1.0786,                0.65457,                0.71545,                0.72434,                0.59969,                0.74566,                0.97806,                 1.1927,              0.0085447,              0.0085447,              0.0085447
                    150,                0.49213,                0.67583,                 1.0667,                0.65521,                0.71327,                0.72506,                0.59899,                  0.746,                0.97559,                 1.1931,              0.0085348,              0.0085348,              0.0085348
                    151,                0.49518,                0.67964,                  1.068,                0.65424,                0.71894,                0.72348,                0.59718,                0.74796,                 0.9779,                 1.1949,              0.0085249,              0.0085249,              0.0085249
                    152,                 0.5045,                0.68787,                 1.0753,                 0.6566,                0.72666,                 0.7279,                 0.6017,                0.74834,                0.96947,                 1.1961,               0.008515,               0.008515,               0.008515
                    153,                0.49602,                0.68577,                  1.067,                0.65694,                0.72651,                0.72799,                0.60181,                0.74846,                0.96851,                 1.1964,              0.0085051,              0.0085051,              0.0085051
                    154,                0.50089,                0.68323,                 1.0732,                0.65365,                0.72888,                0.72991,                0.60362,                 0.7489,                0.96787,                 1.1971,              0.0084952,              0.0084952,              0.0084952
